year	month	m1_12	m24_36	m48_60	m61_120
1979	3	0.00918	0.00821	0.01123	0.01123
1979	4	0.00745	0.00387	0.00325	2e-05
1979	5	0.00908	0.01567	0.0187	0.02249
1979	6	0.00996	0.01759	0.01891	0.02218
1979	7	0.00583	0.00122	-0.00033	-0.00515
1979	8	0.00497	-0.00287	-0.00532	-0.0069
1979	9	0.00511	6e-05	-0.00234	-0.00501
1979	10	0.00063	-0.0305	-0.04809	-0.06261
1979	11	0.0167	0.03196	0.03734	0.03974
1979	12	0.00794	0.00465	0.00995	0.01054
1980	1	0.00843	-0.00134	-0.01406	-0.02919
1980	2	-0.00293	-0.04898	-0.05783	-0.07354
1980	3	0.00619	0.0082	0.01617	0.02233
1980	4	0.03515	0.0933	0.10059	0.10923
1980	5	0.02118	0.03478	0.03801	0.04148
1980	6	0.00795	0.00814	0.01259	0.01888
1980	7	0.00473	-0.00381	-0.01529	-0.02213
1980	8	-0.00396	-0.02732	-0.04601	-0.04219
1980	9	0.00459	-0.00075	0.00163	-0.00672
1980	10	0.00361	-0.00802	-0.01651	-0.02328
1980	11	0.00212	-0.00411	-0.00365	0.00332
1980	12	0.01656	0.03001	0.03418	0.02867
1981	1	0.00784	0.00392	0.00234	-0.00218
1981	2	0.01114	-0.00504	-0.01743	-0.02698
1981	3	0.01924	0.02427	0.02127	0.02378
1981	4	0.00087	-0.01822	-0.02382	-0.03422
1981	5	0.00887	0.01486	0.02628	0.04111
1981	6	0.01592	0.01329	0.00399	-0.00444
1981	7	0.00599	-0.01194	-0.02045	-0.02604
1981	8	0.01046	0.00089	-0.01309	-0.02358
1981	9	0.01702	0.00685	0.00363	0.00118
1981	10	0.0189	0.04755	0.06289	0.05987
1981	11	0.02754	0.05966	0.0682	0.10062
1981	12	0.00068	-0.02135	-0.02875	-0.04181
1982	1	0.00674	0.00371	0.00435	0.00341
1982	2	0.01137	0.01287	0.0118	0.02326
1982	3	0.01012	0.0081	0.01185	0.00203
1982	4	0.01421	0.02103	0.03053	0.02835
1982	5	0.01378	0.01858	0.01411	0.01598
1982	6	0.00439	-0.01047	-0.01763	-0.02219
1982	7	0.02038	0.03802	0.04001	0.05039
1982	8	0.01978	0.0358	0.04363	0.0553
1982	9	0.01283	0.02536	0.03668	0.04395
1982	10	0.01138	0.03399	0.04037	0.05623
1982	11	0.00801	0.01302	0.00813	0.00435
1982	12	0.00956	0.01608	0.02094	0.02578
1983	1	0.00727	0.00563	0.00233	-0.00543
1983	2	0.00805	0.01558	0.0242	0.03436
1983	3	0.00387	-0.00101	-0.00424	-0.00588
1983	4	0.0097	0.01757	0.02212	0.02539
1983	5	0.00489	-0.00423	-0.0105	-0.01693
1983	6	0.0059	0.00365	-1e-05	0.00081
1983	7	0.00474	-0.00693	-0.01948	-0.02825
1983	8	0.00885	0.00678	0.00531	0.00454
1983	9	0.01183	0.0229	0.02896	0.03519
1983	10	0.0086	0.0076	0.00523	-0.00035
1983	11	0.00696	0.00847	0.00973	0.0132
1983	12	0.00677	0.00492	0.00332	-0.00028
1984	1	0.00972	0.01468	0.01789	0.01954
1984	2	0.00596	0.00108	-0.00479	-0.0095
1984	3	0.00503	-0.00271	-0.00615	-0.01433
1984	4	0.00889	0.00532	0.00163	-0.003
1984	5	0.00448	-0.01255	-0.02759	-0.04048
1984	6	0.00943	0.00766	0.01041	0.01296
1984	7	0.01121	0.02461	0.04017	0.05515
1984	8	0.00936	0.01003	0.01088	0.0136
1984	9	0.01139	0.01797	0.02103	0.02661
1984	10	0.01459	0.02948	0.03904	0.04789
1984	11	0.01278	0.0206	0.01927	0.01807
1984	12	0.00993	0.01655	0.01539	0.01175
1985	1	0.00811	0.01343	0.02024	0.02882
1985	2	0.00315	-0.00655	-0.01649	-0.02728
1985	3	0.00892	0.01345	0.01593	0.02137
1985	4	0.0106	0.01803	0.02275	0.02212
1985	5	0.01236	0.03229	0.04707	0.0677
1985	6	0.00723	0.01139	0.01096	0.00759
1985	7	0.00517	0.00186	-0.00067	-0.00578
1985	8	0.00805	0.01225	0.01594	0.02273
1985	9	0.00653	0.00915	0.00867	0.00769
1985	10	0.00681	0.01281	0.01813	0.02287
1985	11	0.00703	0.01355	0.01968	0.02729
1985	12	0.00725	0.01754	0.02791	0.04189
1986	1	0.00646	0.0067	0.00604	0.00225
1986	2	0.00646	0.01362	0.02685	0.05101
1986	3	0.0093	0.02229	0.02975	0.04356
1986	4	0.00697	0.00619	0.00667	0.00396
1986	5	0.00423	-0.00544	-0.01968	-0.02823
1986	6	0.00726	0.01818	0.02715	0.03712
1986	7	0.00645	0.01186	0.0137	0.0101
1986	8	0.00841	0.02042	0.02813	0.03366
1986	9	0.00385	-0.00404	-0.0132	-0.0205
1986	10	0.00515	0.01108	0.01646	0.01724
1986	11	0.0042	0.00745	0.01146	0.0138
1986	12	0.00356	0.00167	0.0026	0.00261
1987	1	0.00553	0.00784	0.00898	0.01133
1987	2	0.0043	0.00481	0.00464	0.0064
1987	3	0.00441	0.00085	-0.00247	-0.00854
1987	4	0.00295	-0.01225	-0.02265	-0.03065
1987	5	0.00406	-0.00027	-0.00427	-0.00614
1987	6	0.00722	0.01214	0.01259	0.01229
1987	7	0.00585	0.00397	0.00168	-0.0031
1987	8	0.00434	-0.00061	-0.00384	-0.00831
1987	9	0.00322	-0.00751	-0.01749	-0.02475
1987	10	0.01037	0.02585	0.03396	0.04179
1987	11	0.00588	0.00739	0.00475	0.00505
1987	12	0.00562	0.0074	0.01119	0.01533
1988	1	0.00694	0.01879	0.02878	0.03697
1988	2	0.00667	0.0089	0.01181	0.01327
1988	3	0.00472	0.00039	-0.0062	-0.01337
1988	4	0.0045	-0.00015	-0.00372	-0.00574
1988	5	0.00375	-0.00297	-0.00814	-0.0101
1988	6	0.00672	0.012	0.01849	0.0253
1988	7	0.0037	-0.00138	-0.00451	-0.00761
1988	8	0.00517	0.00177	-0.00058	0.00039
1988	9	0.00746	0.01334	0.01903	0.02495
1988	10	0.00754	0.0117	0.01623	0.01901
1988	11	0.00317	-0.0062	-0.01326	-0.01627
1988	12	0.00551	0.00099	-0.00202	-0.00116
1989	1	0.00748	0.00907	0.01103	0.01466
1989	2	0.00467	-0.00219	-0.00773	-0.01094
1989	3	0.00691	0.00377	0.00386	0.00684
1989	4	0.00969	0.01827	0.02403	0.02359
1989	5	0.00927	0.01655	0.02079	0.02726
1989	6	0.01037	0.02225	0.0296	0.03447
1989	7	0.00899	0.01757	0.02545	0.02707
1989	8	0.00395	-0.0104	-0.0198	-0.02216
1989	9	0.00592	0.00483	0.00336	0.00254
1989	10	0.00945	0.01891	0.02432	0.02827
1989	11	0.00734	0.00918	0.00986	0.01091
1989	12	0.00561	0.00277	0.00258	-0.00016
1990	1	0.00602	-0.0017	-0.01	-0.01451
1990	2	0.00643	0.00426	0.00149	5e-04
1990	3	0.00567	0.0019	2e-04	4e-05
1990	4	0.0063	0.00064	-0.00505	-0.01121
1990	5	0.00887	0.01807	0.02359	0.02945
1990	6	0.0074	0.01171	0.01433	0.01635
1990	7	0.0081	0.01363	0.0164	0.01559
1990	8	0.00597	0.00153	-0.00675	-0.01653
1990	9	0.00654	0.00872	0.00962	0.00967
1990	10	0.00797	0.01254	0.01623	0.01844
1990	11	0.00686	0.01185	0.01755	0.02448
1990	12	0.00849	0.01319	0.0156	0.01647
1991	1	0.00742	0.00984	0.00942	0.0116
1991	2	0.00609	0.00622	0.00579	0.00591
1991	3	0.00579	0.00494	0.00257	0.00237
1991	4	0.0068	0.01053	0.01162	0.01073
1991	5	0.00512	0.00677	0.00611	0.00485
1991	6	0.00446	0.00202	-0.00249	-0.00439
1991	7	0.00625	0.01024	0.01384	0.01356
1991	8	0.00682	0.01689	0.02253	0.02563
1991	9	0.00642	0.01324	0.02017	0.02608
1991	10	0.00611	0.01224	0.01348	0.01129
1991	11	0.00586	0.01137	0.01327	0.01155
1991	12	0.00723	0.01917	0.02706	0.03863
1992	1	0.00308	-0.00419	-0.01276	-0.02176
1992	2	0.00305	0.00278	0.00169	0.00466
1992	3	0.00315	-0.00298	-0.00614	-0.00767
1992	4	0.00526	0.01016	0.01017	0.00679
1992	5	0.00382	0.01186	0.01791	0.02076
1992	6	0.00449	0.01347	0.01806	0.01876
1992	7	0.00533	0.01502	0.02306	0.02815
1992	8	0.00403	0.01081	0.01371	0.01221
1992	9	0.00466	0.0122	0.01764	0.01895
1992	10	0.00038	-0.00956	-0.01756	-0.01777
1992	11	0.00216	-0.00339	-0.00739	-0.00494
1992	12	0.00416	0.01126	0.014	0.01704
1993	1	0.0037	0.01325	0.0255	0.02422
1993	2	0.0032	0.01187	0.01755	0.02157
1993	3	0.00316	0.00405	0.00447	0.00549
1993	4	0.00288	0.00736	0.00947	0.00791
1993	5	0.00115	-0.00393	-0.00345	-0.00109
1993	6	0.00378	0.00948	0.01714	0.02387
1993	7	0.00262	0.00167	0.00076	0.00268
1993	8	0.00385	0.01145	0.01962	0.02211
1993	9	0.00295	0.00316	0.00381	0.00676
1993	10	0.00216	0.00201	0.00214	0.00201
1993	11	0.00276	-0.00103	-0.00715	-0.01228
1993	12	0.00292	0.00402	0.0032	0.00486
1994	1	0.00384	0.00723	0.01278	0.01387
1994	2	0.00018	-0.00917	-0.01833	-0.02358
1994	3	0.00142	-0.00863	-0.01919	-0.02472
1994	4	0.00171	-0.00597	-0.01	-0.00887
1994	5	0.00303	0.00088	0.00102	-2e-05
1994	6	0.00393	0.00225	-0.00116	-0.0029
1994	7	0.00432	0.01001	0.01537	0.01776
1994	8	0.0043	0.00334	0.003	0.00238
1994	9	0.00258	-0.00472	-0.01244	-0.01594
1994	10	0.0044	0.00158	-0.00096	-0.00254
1994	11	0.00197	-0.00604	-0.00655	-0.00234
1994	12	0.00389	0.00116	0.00334	0.0064
1995	1	0.00727	0.01625	0.01792	0.01897
1995	2	0.00693	0.01679	0.02356	0.02595
1995	3	0.00523	0.00557	0.00623	0.00625
1995	4	0.00551	0.00992	0.01316	0.015
1995	5	0.0076	0.02309	0.03679	0.04589
1995	6	0.00536	0.00606	0.00755	0.00943
1995	7	0.00495	0.00252	-0.00201	-0.00577
1995	8	0.00507	0.00699	0.00935	0.01242
1995	9	0.00418	0.0051	0.00657	0.01012
1995	10	0.00541	0.00973	0.01262	0.01524
1995	11	0.00518	0.01088	0.01571	0.01824
1995	12	0.00541	0.00833	0.0101	0.01392
1996	1	0.00533	0.00935	0.00982	0.0074
1996	2	0.00339	-0.00622	-0.01366	-0.02238
1996	3	0.00309	-0.00385	-0.00889	-0.01046
1996	4	0.00435	-0.00043	-0.00544	-0.00957
