f3,v3,tot3,prov,reg,scl,nahm,durb,nch06,nch711,nch1217,nch18
9740.8881,2334.97,55438.0011,12,1,3,3,13,0,1,1,2
5054.4908,2457,20363.6179,7,2,3,2,3,0,0,0,2
2423.298,1469.75,24519.439,5,4,2,1,12,0,0,0,1
8836.1612,7436.75,79576.6802,8,2,1,3,11,0,0,0,3
8138.5696,2624.72,63796.3966,10,5,1,4,5,0,0,1,3
6005.0495,0,25496.7506,5,4,2,2,5,0,0,0,2
4964.442,5020.05,31505.809,5,4,5,4,6,0,0,0,4
10199.8318,579,34824.8518,4,4,3,4,6,0,2,2,2
10696.1213,1605,47580.692,4,4,1,2,11,0,0,0,2
7556.6954,0,31149.4454,8,2,2,2,6,0,0,0,2
5060.093,822.85,24679.4416,8,2,4,2,3,0,0,0,2
17270.747,3225.11,67837.852,8,2,3,4,10,0,1,2,2
3952.9861,2286.2,34847.4981,1,3,4,2,12,2,0,0,2
8012.5289,460,24614.4386,4,4,4,3,12,0,2,0,2
10846.5684,1424.55,54814.5734,5,4,2,4,6,0,1,1,3
4292.3366,0,21861.1454,5,4,3,1,12,0,0,0,1
5654.7064,0,23538.8585,4,4,4,2,9,2,0,0,2
6396.6675,0,47132.4651,4,4,4,2,9,0,2,0,2
3483.3188,0,10125.1736,5,4,4,2,12,1,0,0,2
7741.2981,539,36402.8861,5,4,4,2,6,1,1,0,2
4724.4342,0,10960.8232,5,4,4,3,10,0,0,1,2
7151.3377,1052,31764.7577,4,4,3,2,11,0,0,0,2
5965.5281,340.85,28891.0158,6,2,4,2,6,0,2,0,2
8281.3692,490,37686.6332,7,2,4,2,7,1,0,0,2
7165.1822,5396.13,68096.0692,12,1,2,2,13,0,0,0,2
9151.2225,3647.88,67044.5185,8,2,1,2,9,0,3,0,2
8149.0436,984.1,84766.7266,10,5,3,4,6,0,0,2,2
9159.8666,245,22069.8355,9,5,5,3,9,0,0,1,2
6015.7206,1431.4,58614.7919,10,5,2,2,6,0,0,0,2
12635.8153,735,51913.1463,10,5,2,2,10,2,2,0,2
8144.7645,997.89,39672.0105,10,5,3,2,9,2,0,0,2
9860.9952,46.2,50411.3102,6,2,3,2,7,0,0,0,2
7929.316,996.5,41888.7864,7,6,2,2,7,0,0,0,2
6003.9949,0,42585.7879,7,2,3,2,11,1,1,0,2
9378.7566,12.5,50344.2666,7,2,2,4,11,0,0,2,2
5286.0153,156.6,30635.3599,8,6,3,2,7,1,0,0,2
4752.6444,194.6,40064.2522,10,5,5,2,12,0,0,0,2
9675.2821,0,23008.7863,9,5,4,2,9,0,1,0,2
6651.0927,3202.05,36449.6177,13,4,4,2,6,0,2,0,2
6967.1415,405,24369.8932,1,3,4,4,3,0,0,2,2
5437.5677,1083.35,35607.2174,1,3,3,2,6,2,1,0,2
2176.4991,0,22325.9603,2,3,5,1,4,0,0,0,1
6724.052,812,17556.7684,2,3,3,5,4,0,1,1,3
8100.6426,85,26961.9464,2,3,4,3,8,0,2,0,2
4702.3789,0,21073.0143,2,3,5,1,6,0,0,0,1
5968.0842,335.95,27666.185,2,3,4,3,6,0,2,0,2
7186.9683,614.3,33427.0793,2,3,2,3,6,0,0,2,1
4434.7871,1886,14904.4961,2,3,4,2,6,0,0,0,2
5710.1996,80,17267.2193,2,3,3,2,4,0,0,0,2
8565.5571,2878.6,36651.0861,4,4,4,4,8,0,0,1,3
6169.7871,0,28449.2681,4,4,4,2,5,0,0,0,2
7012.5141,39.75,18817.9787,5,4,1,2,8,0,0,0,2
